epochs,batch_size,calibration_keypoints,lattice_size,learning_rate,early_stopping_patience,grouping_mode,max_group_dim,tune_profile,cv_splits,cv_repeats,cv_folds,auc_mean,auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,brier_mean,log_loss_mean,fallback_count,all_lattice,balanced_score,risk_heavy_score,composite_score
28,256,20,3,0.005,4,correlation,2,final,5,1,5,0.7875392231813405,0.0063344184178230995,0.7848336280957522,0.00933718705940101,0.7539169809405951,0.0057237664602414196,0.18819035589694977,0.5590813615172432,0,True,1.7160147940369652,1.7598196403225292,1.7160147940369652
28,128,15,3,0.003,6,correlation,2,final,5,1,5,0.7875028923795422,0.003692675018346551,0.785473905203968,0.01101705230711941,0.7534710318382046,0.006735557022436203,0.18805414736270903,0.5585973091247396,0,True,1.7165924258364116,1.7604035787923042,1.7165924258364116
20,128,20,4,0.003,4,fixed,2,final,5,1,5,0.787464891150707,0.005136419331598139,0.7848154363496219,0.0110714331115087,0.7521583144482715,0.005872146282090078,0.18910609185695648,0.5619303739960066,0,True,1.7138626354544708,1.7571863450491456,1.7138626354544708
20,256,15,4,0.005,6,fixed,2,final,5,1,5,0.7874385165170913,0.005016474065984975,0.783871557814524,0.008768547260201731,0.7501015038026473,0.007348089362154702,0.18937549293041228,0.5625295291319379,0,True,1.711600392450678,1.7543936692326452,1.711600392450678
28,128,15,4,0.002,4,fixed,3,final,5,1,5,0.7873524949386084,0.006063010191169327,0.7856528573509148,0.008740188705921853,0.7520064044345091,0.006166458716732507,0.1893700033426285,0.5623059729524431,0,True,1.714327463304897,1.7577082322915467,1.714327463304897
28,256,10,4,0.005,4,fixed,2,final,5,1,5,0.7872864579661096,0.006068612457513633,0.7843048419249147,0.010301290452697107,0.7503750623169221,0.007729965621041074,0.18890556395053865,0.5612610260808923,0,True,1.7125563591310653,1.7555415128896747,1.7125563591310653
20,128,20,4,0.003,4,correlation,3,final,5,1,5,0.7872744271310724,0.009439228229879647,0.7823125161057605,0.015762993514564148,0.7514993982303334,0.005997780002605687,0.18951762318611146,0.5629911944669116,0,True,1.710386199651358,1.7533128857584408,1.710386199651358
20,256,15,4,0.005,6,correlation,3,final,5,1,5,0.7871595449616073,0.007504836123611821,0.7839843600896552,0.010261697024425231,0.751205955008908,0.007644705619003561,0.1897868812084198,0.5634684292034327,0,True,1.7115755560928312,1.754609852651085,1.7115755560928312
28,256,15,4,0.003,4,fixed,2,final,5,1,5,0.7870701746389877,0.003941471127253988,0.7831777687687862,0.01057902979054464,0.7518306288553701,0.006665647415201917,0.19006528556346894,0.5643580968391552,0,True,1.710624866829061,1.7536768297072585,1.710624866829061
20,128,10,4,0.003,6,correlation,2,final,5,1,5,0.7868798809271998,0.0035772947413649395,0.7845152662039914,0.008855910131976343,0.7509940829506124,0.0068971055502812005,0.18936093747615815,0.562210506035644,0,True,1.7122463239987902,1.75541016572209,1.7122463239987902
28,128,10,4,0.002,6,correlation,3,final,5,1,5,0.7867969316888427,0.006467831331179078,0.782066400187089,0.012121216271527693,0.7514446146623945,0.0054240242019013025,0.1903022676706314,0.5648943057431127,0,True,1.7088121786629131,1.7517036399891768,1.7088121786629131
36,128,10,4,0.002,4,correlation,3,final,5,1,5,0.7865934894390669,0.010033189143519462,0.7817556521594379,0.015737886718200266,0.7500834880816487,0.006173948848153091,0.18946875333786012,0.562766710695837,0,True,1.7085287862282144,1.7512640156378825,1.7085287862282144
28,256,20,4,0.003,4,fixed,3,final,5,1,5,0.7864361889485401,0.005875640637709623,0.7835513605515443,0.010000066342342656,0.7509319409535228,0.004328302633342956,0.1900921493768692,0.564194138826236,0,True,1.7099671415122892,1.7530117210271288,1.7099671415122892
